name,type
train951.mp4,front_raise
train952.mp4,front_raise
test1463.mp4,pullups
test2340.mp4,squat
stu5_11.mp4,front_raise
stu9_2.mp4,benchpressing
stu6_18.mp4,jumpjacks
stu4_14.mp4,front_raise
stu8_3.mp4,benchpressing
stu4_54.mp4,situp
test128.mp4,benchpressing
stu4_66.mp4,squat
stu5_61.mp4,situp
stu6_35.mp4,pullups
val77.mp4,benchpressing
stu9_63.mp4,squat
stu5_52.mp4,situp
stu2_35.mp4,pullups
stu6_1.mp4,benchpressing
stu7_57.mp4,situp
train133.mp4,benchpressing
stu7_49.mp4,pushups
stu9_51.mp4,pushups
train3301.mp4,situp
stu10_50.mp4,pushups
stu8_35.mp4,pullups
stu1_68.mp4,squat
train1605.mp4,jumpjacks
train940.mp4,front_raise
stu7_34.mp4,jumpjacks
stu2_58.mp4,situp
stu4_50.mp4,situp
stu1_33.mp4,pullups
stu9_22.mp4,front_raise
stu7_3.mp4,benchpressing
stu1_14.mp4,front_raise
stu3_42.mp4,pushups
stu4_15.mp4,jumpjacks
stu6_62.mp4,squat
train987.mp4,front_raise
stu8_64.mp4,squat
stu4_39.mp4,pullups
stu2_40.mp4,pullups
stu7_18.mp4,front_raise
train160.mp4,benchpressing
stu7_67.mp4,squat
train180.mp4,benchpressing
stu6_29.mp4,pullups
stu10_46.mp4,pushups
stu6_33.mp4,pullups
stu4_33.mp4,pullups
stu3_65.mp4,squat
stu6_8.mp4,front_raise
stu1_41.mp4,pullups
train2719.mp4,pushups
stu9_26.mp4,front_raise
stu7_60.mp4,situp
stu2_51.mp4,pushups
stu8_1.mp4,benchpressing
stu10_64.mp4,squat
stu10_31.mp4,jumpjacks
train2712.mp4,pushups
stu1_22.mp4,jumpjacks
stu4_25.mp4,jumpjacks
stu3_61.mp4,squat
stu8_63.mp4,squat
stu2_20.mp4,front_raise
stu10_16.mp4,front_raise
stu10_53.mp4,pushups
val1089.mp4,situp
stu3_62.mp4,squat
stu8_56.mp4,situp
stu10_51.mp4,pushups
stu8_69.mp4,squat
stu7_63.mp4,squat
stu9_35.mp4,pullups
stu8_44.mp4,pushups
train3319.mp4,situp
stu8_4.mp4,benchpressing
stu3_44.mp4,pushups
stu7_64.mp4,squat
train2568.mp4,pullups
train3386.mp4,situp
stu5_48.mp4,pushups
train2570.mp4,pullups
test586.mp4,front_raise
stu2_38.mp4,pullups
stu5_56.mp4,situp
train3948.mp4,squat
stu5_30.mp4,pullups
stu9_58.mp4,situp
stu1_20.mp4,front_raise
train3366.mp4,situp
train2501.mp4,pullups
stu1_55.mp4,situp
