name,type
test1463.mp4,pullup
test2340.mp4,squat
stu6_18.mp4,jumpjack
stu4_66.mp4,squat
stu6_35.mp4,pullup
stu9_63.mp4,squat
stu2_35.mp4,pullup
stu7_49.mp4,pushup
stu9_51.mp4,pushup
stu10_50.mp4,pushup
stu8_35.mp4,pullup
stu1_68.mp4,squat
train1605.mp4,jumpjack
stu7_34.mp4,jumpjack
stu1_33.mp4,pullup
stu3_42.mp4,pushup
stu4_15.mp4,jumpjack
stu6_62.mp4,squat
stu8_64.mp4,squat
stu4_39.mp4,pullup
stu2_40.mp4,pullup
stu7_67.mp4,squat
stu6_29.mp4,pullup
stu10_46.mp4,pushup
stu6_33.mp4,pullup
stu4_33.mp4,pullup
stu3_65.mp4,squat
stu1_41.mp4,pullup
train2719.mp4,pushup
stu2_51.mp4,pushup
stu10_64.mp4,squat
stu10_31.mp4,jumpjack
train2712.mp4,pushup
stu1_22.mp4,jumpjack
stu4_25.mp4,jumpjack
stu3_61.mp4,squat
stu8_63.mp4,squat
stu10_53.mp4,pushup
stu3_62.mp4,squat
stu10_51.mp4,pushup
stu8_69.mp4,squat
stu7_63.mp4,squat
stu9_35.mp4,pullup
stu8_44.mp4,pushup
stu3_44.mp4,pushup
stu7_64.mp4,squat
train2568.mp4,pullup
stu5_48.mp4,pushup
train2570.mp4,pullup
stu2_38.mp4,pullup
train3948.mp4,squat
stu5_30.mp4,pullup
train2501.mp4,pullup
stu4_61.mp4,squat
stu6_28.mp4,pullup
val819.mp4,pullup
stu2_28.mp4,jumpjack
stu8_59.mp4,squat
stu1_32.mp4,pullup
stu1_35.mp4,pullup
stu6_58.mp4,squat
stu3_29.mp4,jumpjack
stu3_38.mp4,pullup
stu8_40.mp4,pushup
stu5_20.mp4,jumpjack
stu4_21.mp4,jumpjack
train2692.mp4,pushup
stu10_49.mp4,pushup
stu10_65.mp4,squat
stu7_40.mp4,pullup
stu1_72.mp4,squat
stu6_70.mp4,squat
stu2_43.mp4,pullup
stu9_28.mp4,jumpjack
stu8_41.mp4,pushup
stu4_34.mp4,pullup
val912.mp4,pushup
stu6_38.mp4,pushup
val826.mp4,pullup
stu4_24.mp4,jumpjack
stu7_31.mp4,jumpjack
stu3_37.mp4,pullup
stu4_18.mp4,jumpjack
val824.mp4,pullup
stu5_70.mp4,squat
val890.mp4,pushup
stu4_41.mp4,pushup
stu3_64.mp4,squat
stu5_66.mp4,squat
val817.mp4,pullup
stu2_49.mp4,pushup
val1235.mp4,squat
train1617.mp4,jumpjack
stu2_46.mp4,pushup
stu5_31.mp4,pullup
stu4_23.mp4,jumpjack
stu5_43.mp4,pushup
train3959.mp4,squat
stu3_59.mp4,squat
train1640.mp4,jumpjack
stu2_45.mp4,pushup
stu9_41.mp4,pullup
stu6_67.mp4,squat
stu3_36.mp4,pullup
test2319.mp4,squat
stu4_26.mp4,jumpjack
test1448.mp4,pullup
stu5_35.mp4,pullup
stu4_62.mp4,squat
stu6_36.mp4,pullup
stu9_42.mp4,pullup
stu8_30.mp4,jumpjack
stu2_72.mp4,squat
test1465.mp4,pullup
stu7_38.mp4,pullup
train3944.mp4,squat
val568.mp4,jumpjack
stu3_34.mp4,pullup
stu9_38.mp4,pullup
stu8_39.mp4,pullup
val578.mp4,jumpjack
stu2_69.mp4,squat
stu2_32.mp4,jumpjack
val1250.mp4,squat
stu1_51.mp4,pushup
stu5_64.mp4,squat
stu3_23.mp4,jumpjack
stu1_71.mp4,squat
stu4_42.mp4,pushup
stu4_36.mp4,pullup
stu10_41.mp4,pushup
stu2_47.mp4,pushup
train2527.mp4,pullup
stu10_38.mp4,pullup
stu1_52.mp4,pushup
stu10_54.mp4,pushup
stu2_54.mp4,pushup
val581.mp4,jumpjack
test989.mp4,jumpjack
stu6_59.mp4,squat
stu9_69.mp4,squat
